time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-08T01:49:22.740Z,18.0088,-67.1811,6,2.37,md,18,217,0.0715,0.16,pr,pr2018312000,2018-11-08T03:24:23.343Z,"2km SSW of Boqueron, Puerto Rico",earthquake,0.61,0.35,0.38,17,reviewed,pr,pr
2018-11-08T01:48:01.745Z,63.1219,-150.3955,94.3,1.7,ml,,,,0.33,ak,ak20335052,2018-11-08T01:53:02.903Z,"78km WSW of Cantwell, Alaska",earthquake,,1.6,,,automatic,ak,ak
2018-11-08T01:38:40.240Z,37.5416667,-118.8266667,5.54,0.65,md,12,237,0.04831,0.02,nc,nc73108226,2018-11-08T03:22:59.804Z,"13km W of Toms Place, CA",earthquake,1.44,2.16,0.19,10,reviewed,nc,nc
2018-11-08T01:25:09.750Z,33.629,-116.6888333,12.28,0.38,ml,20,59,0.07201,0.11,ci,ci38353720,2018-11-08T01:28:48.992Z,"8km N of Anza, CA",earthquake,0.26,0.42,0.063,12,automatic,ci,ci
2018-11-08T01:18:39.030Z,-21.0225,-178.4135,549.4,4.9,mb,,95,4.664,0.71,us,us1000hp3t,2018-11-08T01:29:36.040Z,"50km SE of Ndoi Island, Fiji",earthquake,13.4,13.3,0.145,15,reviewed,us,us
2018-11-08T01:09:39.499Z,60.7105,-150.2046,39.7,1.9,ml,,,,0.48,ak,ak20334952,2018-11-08T01:16:36.970Z,"36km ENE of Sterling, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-08T01:06:35.760Z,17.886,-66.946,14,1.96,md,7,244,0.1114,0.06,pr,pr2018312002,2018-11-08T05:21:28.686Z,"10km SSW of Guanica, Puerto Rico",earthquake,0.8,0.64,0.45,7,reviewed,pr,pr
2018-11-08T01:06:01.198Z,62.4152,-149.504,43.6,2.3,ml,,,,0.57,ak,ak20334946,2018-11-08T01:11:00.951Z,"32km ENE of Talkeetna, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-11-08T01:01:14.884Z,61.5505,-150.8326,50.3,1.9,ml,,,,0.32,ak,ak20334943,2018-11-08T01:05:35.227Z,"46km W of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-08T01:00:18.350Z,35.988,-120.117,17.69,1.76,md,40,158,0.07312,0.11,nc,nc73108216,2018-11-08T04:20:03.412Z,"2km SSE of Avenal, CA",earthquake,0.34,0.79,0.225,18,reviewed,nc,nc
2018-11-08T00:59:25.060Z,63.0955,-151.5264,16,1.1,ml,,,,0.52,ak,ak20334941,2018-11-08T01:03:53.365Z,"112km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-08T00:57:06.040Z,35.9875,-120.1201667,17.67,2.33,md,44,156,0.07387,0.13,nc,nc73108211,2018-11-08T04:35:02.492Z,"2km SSE of Avenal, CA",earthquake,0.26,0.65,0.356,29,reviewed,nc,nc
2018-11-08T00:56:32.270Z,-23.5313,179.5391,542.31,4.5,mb,,91,5.923,0.81,us,us1000hp3e,2018-11-08T01:18:15.040Z,"South of the Fiji Islands",earthquake,9.4,6.4,0.062,78,reviewed,us,us
2018-11-08T00:56:29.830Z,19.2189999,-155.4088287,32.31,1.84,md,37,159,0.02129,0.11,hv,hv70678391,2018-11-08T00:59:50.480Z,"7km ENE of Pahala, Hawaii",earthquake,0.68,0.8,0.02,3,automatic,hv,hv
2018-11-08T00:56:08.554Z,63.1542,-150.8164,112.8,1.8,ml,,,,0.7,ak,ak20334938,2018-11-08T01:00:39.663Z,"97km WSW of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-08T00:43:58.956Z,60.506,-150.7107,6,2,ml,,,,0.72,ak,ak20334928,2018-11-08T00:46:50.974Z,"4km SE of Sterling, Alaska",earthquake,,0.3,,,automatic,ak,ak
